"timestamp";"severity";"category";"thread";"logmessage"
"2019-06-23 05:49:28,158";"INFO";"org.jboss.as.connector.deployers.jdbc";"MSC service thread 1-3";"WFLYJCA0019: Stopped Driver service with driver-name = csvcompare.war_org.h2.Driver_1_4"
"2019-06-23 05:49:28,158";"INFO";"org.wildfly.extension.undertow";"ServerService Thread Pool -- 69";"WFLYUT0022: Unregistered web context: /csvcompare"
"2019-06-23 05:49:28,252";"INFO";"org.jboss.as.clustering.infinispan";"ServerService Thread Pool -- 75";"WFLYCLINF0003: Stopped client-mappings cache from ejb container"
"2019-06-23 05:49:28,252";"INFO";"org.jboss.as.server.deployment";"MSC service thread 1-3";"WFLYSRV0028: Stopped deployment csvcompare.war (runtime-name: csvcompare.war) in 103ms"
"2019-06-23 05:49:28,520";"WARN";"org.jboss.as.controller";"DeploymentScanner-threads - 2";"WFLYCTL0357: Notification of type deployment-undeployed is not described for the resource at the address []"
"2019-06-23 05:49:28,520";"INFO";"org.jboss.as.server";"DeploymentScanner-threads - 2";"WFLYSRV0009: Undeployed ""csvcompare.war"" (runtime-name: ""csvcompare.war"")"
"2019-06-23 05:49:33,536";"INFO";"org.jboss.as.server.deployment.scanner";"DeploymentScanner-threads - 1";"WFLYDS0004: Found csvcompare.war in deployment directory. To trigger deployment create a file called csvcompare.war.dodeploy"
"2019-06-23 06:10:07,464";"INFO";"org.jboss.as.server.deployment.scanner";"DeploymentScanner-threads - 1";"WFLYDS0004: Found csvcompare.war in deployment directory. To trigger deployment create a file called csvcompare.war.dodeploy"
"2019-06-23 06:16:13,546";"INFO";"org.jboss.as.server.deployment.scanner";"DeploymentScanner-threads - 1";"WFLYDS0004: Found csvcompare.war in deployment directory. To trigger deployment create a file called csvcompare.war.dodeploy"
"2019-06-23 06:32:41,549";"INFO";"org.jboss.as.server.deployment.scanner";"DeploymentScanner-threads - 2";"WFLYDS0004: Found csvcompare.war in deployment directory. To trigger deployment create a file called csvcompare.war.dodeploy"
"2019-06-23 06:32:46,586";"INFO";"org.jboss.as.server.deployment";"MSC service thread 1-1";"WFLYSRV0027: Starting deployment of ""csvcompare.war"" (runtime-name: ""csvcompare.war"")"
"2019-06-23 06:32:47,052";"INFO";"org.jboss.weld.deployer";"MSC service thread 1-8";"WFLYWELD0003: Processing weld deployment csvcompare.war"
